response,component,q,dilation,weighted_q,component_sign
Cryptochlorogenic Acid,3,-0.1451366162589908,15.051537650683667,-2.1845292441150272,1
Scopoletin,3,0.0095590179760949613,15.051537650683667,0.1438779189707553,1
Rutin,3,0.29548625054964728,15.051537650683667,4.4475224254073629,1
Total Alkaloids,4,-0.13375550607320291,14.226767155351403,-1.9029084406496484,1
Reducing Sugars,4,0.23030190226389768,14.226767155351403,3.2764515389429687,1
Total Sugars,4,0.041632616767456478,14.226767155351403,0.59229754481858199,1
Total Nitrogen,4,0.30509569686221555,14.226767155351403,4.3405254393584167,1
K,4,0.29474008441056432,14.226767155351403,4.1931985522577166,1
cl,4,0.32569782021374633,14.226767155351403,4.6336270511864726,1
pH,4,0.063373504662808416,14.226767155351403,0.90160009465635182,1
Starch,4,-0.0098872247516283065,14.226767155351403,-0.14066324435404304,1
Neochlorogenic Acid,4,-0.088591408178736064,14.226767155351403,-1.2603693361235719,1
Chlorogenic Acid,4,0.17424228304094164,14.226767155351403,2.4789043894403116,1
Cryptochlorogenic Acid,4,0.07775642622811077,14.226767155351403,1.1062225707795907,1
Scopoletin,4,0.76924562616830905,14.226767155351403,10.943878408769024,1
Rutin,4,0.034574378199232057,14.226767155351403,0.49188162818153225,1
Total Alkaloids,5,0.023076003246585673,11.683976086003966,0.26961947009365689,1
Reducing Sugars,5,0.10053443067320554,11.683976086003966,1.1746418838057571,1
Total Sugars,5,0.028454475011770917,11.683976086003966,0.33246140557732884,1
Total Nitrogen,5,-0.23426482692560985,11.683976086003966,-2.7371446355906834,1
K,5,0.68592600432311157,11.683976086003966,8.0143430312794894,1
cl,5,-0.19967399664094329,11.683976086003966,-2.3329862017496175,1
pH,5,-0.39768324827927237,11.683976086003966,-4.6465215626993963,1
Starch,5,-0.28151720786823647,11.683976086003966,-3.2892403245310824,1
Neochlorogenic Acid,5,-0.02528322723479073,11.683976086003966,-0.29540862238829907,1
Chlorogenic Acid,5,-0.41256332591059725,11.683976086003966,-4.8203800339016789,1
Cryptochlorogenic Acid,5,0.083014507116585368,11.683976086003966,0.96993951594158945,1
Scopoletin,5,-0.0057482979433323917,11.683976086003966,-0.067162975705121447,1
Rutin,5,0.090168601102071894,11.683976086003966,1.0535277789850388,1
Total Alkaloids,6,0.27223896077709137,10.486479051889763,2.8548281592972073,1
Reducing Sugars,6,0.34533621856066166,10.486479051889763,3.6213610217952032,1
Total Sugars,6,0.19438725484310479,10.486479051889763,2.0384378758665753,1
Total Nitrogen,6,0.30106965932956209,10.486479051889763,3.15716067571904,1
K,6,0.0080675012308313726,10.486479051889763,0.084599682658208067,1
cl,6,0.28545585053623707,10.486479051889763,2.9934267968876251,1
pH,6,0.25571626139542458,10.486479051889763,2.6815632183506866,1
Starch,6,0.26042983445850015,10.486479051889763,2.7309920035361808,1
Neochlorogenic Acid,6,0.046971960064173486,10.486479051889763,0.49257047523915776,1
Chlorogenic Acid,6,-0.54314952649606829,10.486479051889763,-5.6957261316448635,1
Cryptochlorogenic Acid,6,-0.057394090815722873,10.486479051889763,-0.60186193104133656,1
Scopoletin,6,-0.20893661598889318,10.486479051889763,-2.1910094467402641,1
Rutin,6,0.34535272294385733,10.486479051889763,3.6215340946638488,1
Total Alkaloids,7,0.37977758762474945,8.239798751641203,3.129290892411718,1
Reducing Sugars,7,-0.46130666138705784,8.239798751641203,-3.8010740526208502,1
Total Sugars,7,-0.41629572721471719,8.239798751641203,-3.4301930134173935,1
Total Nitrogen,7,0.53678672697988927,8.239798751641203,4.4230146028664592,1
K,7,0.018305505001901898,8.239798751641203,0.15083367726283306,1
cl,7,-0.208330327100712,8.239798751641203,-1.7165999691734501,1
pH,7,0.02417715176561391,8.239798751641203,0.19921486493654542,1
Starch,7,-0.26031518066033787,8.239798751641203,-2.1449447006383062,1
Neochlorogenic Acid,7,0.12554985351301606,8.239798751641203,1.0345055262452856,1
Chlorogenic Acid,7,-0.10923536782189307,8.239798751641203,-0.90007744741390217,1
Cryptochlorogenic Acid,7,0.016030353717163822,8.239798751641203,0.13208688854705339,1
Scopoletin,7,0.11981001652204101,8.239798751641203,0.98721042457242547,1
Rutin,7,0.16471592845325986,8.239798751641203,1.3572261016445923,1
Total Alkaloids,8,0.6402323365864715,4.7568210820386749,3.0454706760774086,-1
Reducing Sugars,8,0.11682243232725531,4.7568210820386749,0.55570340894932446,-1
Total Sugars,8,0.19977623112616286,4.7568210820386749,0.95029978791116243,-1
Total Nitrogen,8,-0.18707878508168568,4.7568210820386749,-0.88990030887874483,-1
K,8,-0.13733226798795972,4.7568210820386749,-0.65326502760931182,-1
cl,8,0.066154172686150384,4.7568210820386749,0.31468356329830721,-1
pH,8,-0.20804311744810103,4.7568210820386749,-0.98962388705017501,-1
Starch,8,-0.22072162172503912,4.7568210820386749,-1.0499332634834317,-1
Neochlorogenic Acid,8,-0.41677019380870645,4.7568210820386749,-1.9825012442745993,-1
Chlorogenic Acid,8,0.29860521079391333,4.7568210820386749,1.4204115619110895,-1
Cryptochlorogenic Acid,8,-0.25409215437205929,4.7568210820386749,-1.208670916697637,-1
Scopoletin,8,0.078373169584177241,4.7568210820386749,0.37280714534420656,-1
Rutin,8,0.2296560858106465,4.7568210820386749,1.0924329106025663,-1
